Pathway,Gene
positive regulation of cellular process,SKP2
positive regulation of cellular process,WDR48
positive regulation of cellular process,VPS4B
positive regulation of cellular process,ACTR3
positive regulation of cellular process,TMED2
positive regulation of cellular process,ATXN7L3
positive regulation of cellular process,FBXW11
positive regulation of cellular process,SOX17
positive regulation of cellular process,SUPT7L
positive regulation of cellular process,TRAF2
positive regulation of cellular process,VEZF1
positive regulation of cellular process,WT1
positive regulation of cellular process,CCND1
positive regulation of cellular process,RAF1
positive regulation of cellular process,MYBL2
positive regulation of cellular process,SAMD4B
positive regulation of cellular process,ZFP36L1
positive regulation of cellular process,ARID2
positive regulation of cellular process,XRCC2
positive regulation of cellular process,CDK4
positive regulation of cellular process,SCD
positive regulation of cellular process,ARPC2
positive regulation of cellular process,APC
positive regulation of cellular process,RICTOR
positive regulation of cellular process,ZNF780B
Small cell lung cancer,AKT2
Small cell lung cancer,PIK3CB
Small cell lung cancer,PIK3CA
Small cell lung cancer,CCNE1
Small cell lung cancer,E2F3
Small cell lung cancer,SKP2
Small cell lung cancer,TRAF2
Small cell lung cancer,CCND1
Small cell lung cancer,CDK4
Melanoma,AKT2
Melanoma,PIK3CB
Melanoma,PIK3CA
Melanoma,E2F3
Melanoma,KRAS
Melanoma,CCND1
Melanoma,RAF1
Melanoma,CDK4
Non-small cell lung cancer,AKT2
Non-small cell lung cancer,PIK3CB
Non-small cell lung cancer,PIK3CA
Non-small cell lung cancer,E2F3
Non-small cell lung cancer,KRAS
Non-small cell lung cancer,CCND1
Non-small cell lung cancer,RAF1
Non-small cell lung cancer,CDK4
positive regulation of biological process,SMC4
positive regulation of biological process,DNM1L
positive regulation of biological process,EIF4G1
positive regulation of biological process,PAK4
positive regulation of biological process,NCOA2
positive regulation of biological process,ARFGEF1
positive regulation of biological process,IGF2BP2
positive regulation of biological process,SUB1
positive regulation of biological process,CLNS1A
positive regulation of biological process,IL1RAP
positive regulation of biological process,DHX36
positive regulation of biological process,ECT2
positive regulation of biological process,TRA2B
positive regulation of biological process,AKT2
positive regulation of biological process,MECOM
positive regulation of biological process,EZH2
positive regulation of biological process,FH
positive regulation of biological process,NCBP2
positive regulation of biological process,RFX5
positive regulation of biological process,PIK3CB
positive regulation of biological process,WWTR1
positive regulation of biological process,LSM14A
positive regulation of biological process,AGO2
positive regulation of biological process,AAMDC
positive regulation of biological process,HLTF
positive regulation of biological process,PDCD5
positive regulation of biological process,MMP7
positive regulation of biological process,ASPH
positive regulation of biological process,OPA1
positive regulation of biological process,GOLT1B
positive regulation of biological process,RAP2B
positive regulation of biological process,RSF1
positive regulation of biological process,PIK3CA
positive regulation of biological process,PLSCR1
positive regulation of biological process,MED29
positive regulation of biological process,RBM38
positive regulation of biological process,CHD7
positive regulation of biological process,BICD1
positive regulation of biological process,GOLPH3
positive regulation of biological process,SMYD3
positive regulation of biological process,ST6GAL1
positive regulation of biological process,WNK1
positive regulation of biological process,SUPT5H
positive regulation of biological process,UVRAG
positive regulation of biological process,CCNE1
positive regulation of biological process,TNFSF10
positive regulation of biological process,GAB2
positive regulation of biological process,PAX8
positive regulation of biological process,MIOS
positive regulation of biological process,FZR1
positive regulation of biological process,E2F3
positive regulation of biological process,KRAS
positive regulation of biological process,PDCD2
positive regulation of biological process,CIT
positive regulation of biological process,SKP2
positive regulation of biological process,WDR48
positive regulation of biological process,VPS4B
positive regulation of biological process,ACTR3
positive regulation of biological process,TMED2
positive regulation of biological process,ATXN7L3
positive regulation of biological process,FBXW11
positive regulation of biological process,SOX17
positive regulation of biological process,SUPT7L
positive regulation of biological process,TRAF2
positive regulation of biological process,VEZF1
positive regulation of biological process,WT1
positive regulation of biological process,CCND1
positive regulation of biological process,RAF1
positive regulation of biological process,MYBL2
positive regulation of biological process,SAMD4B
positive regulation of biological process,ZFP36L1
positive regulation of biological process,ARID2
positive regulation of biological process,XRCC2
positive regulation of biological process,CDK4
positive regulation of biological process,SCD
positive regulation of biological process,ARPC2
positive regulation of biological process,APC
positive regulation of biological process,RICTOR
positive regulation of biological process,ZNF780B
Glioma,AKT2
Glioma,PIK3CB
Glioma,PIK3CA
Glioma,E2F3
Glioma,KRAS
Glioma,CCND1
Glioma,RAF1
Glioma,CDK4
Pancreatic cancer,AKT2
Pancreatic cancer,PIK3CB
Pancreatic cancer,PIK3CA
Pancreatic cancer,E2F3
Pancreatic cancer,KRAS
Pancreatic cancer,CCND1
Pancreatic cancer,RAF1
Pancreatic cancer,CDK4
Hepatocellular carcinoma,AKT2
Hepatocellular carcinoma,PIK3CB
Hepatocellular carcinoma,PIK3CA
Hepatocellular carcinoma,E2F3
Hepatocellular carcinoma,KRAS
Hepatocellular carcinoma,TXNRD1
Hepatocellular carcinoma,CCND1
Hepatocellular carcinoma,RAF1
Hepatocellular carcinoma,ARID2
Hepatocellular carcinoma,CDK4
Hepatocellular carcinoma,APC
Endometrial cancer,AKT2
Endometrial cancer,PIK3CB
Endometrial cancer,PIK3CA
Endometrial cancer,KRAS
Endometrial cancer,CCND1
Endometrial cancer,RAF1
Endometrial cancer,APC
cell cycle process,SMC4
cell cycle process,EIF4G1
cell cycle process,AHCTF1
cell cycle process,ECT2
cell cycle process,EZH2
cell cycle process,LSM14A
cell cycle process,PLSCR1
cell cycle process,CCNL1
cell cycle process,EXOC4
cell cycle process,WNK1
cell cycle process,UVRAG
cell cycle process,CCNE1
cell cycle process,FZR1
cell cycle process,E2F3
cell cycle process,CIT
cell cycle process,PARD6B
cell cycle process,SKP2
cell cycle process,PDS5B
cell cycle process,VPS4B
cell cycle process,ACTR3
cell cycle process,FBXW11
cell cycle process,CCND1
cell cycle process,MYBL2
cell cycle process,ZFP36L1
cell cycle process,ARID2
cell cycle process,XRCC2
cell cycle process,CDK4
cell cycle process,APC
Endocrine resistance,AKT2
Endocrine resistance,PIK3CB
Endocrine resistance,PIK3CA
Endocrine resistance,E2F3
Endocrine resistance,KRAS
Endocrine resistance,CCND1
Endocrine resistance,RAF1
Endocrine resistance,CDK4
Renal cell carcinoma,PAK4
Renal cell carcinoma,AKT2
Renal cell carcinoma,FH
Renal cell carcinoma,PIK3CB
Renal cell carcinoma,PIK3CA
Renal cell carcinoma,KRAS
Renal cell carcinoma,RAF1
Prostate cancer,AKT2
Prostate cancer,PIK3CB
Prostate cancer,PIK3CA
Prostate cancer,CCNE1
Prostate cancer,E2F3
Prostate cancer,KRAS
Prostate cancer,CCND1
Prostate cancer,RAF1
Aberrant regulation of mitotic cell cycle due to RB1 defects,CCNE1
Aberrant regulation of mitotic cell cycle due to RB1 defects,FZR1
Aberrant regulation of mitotic cell cycle due to RB1 defects,E2F3
Aberrant regulation of mitotic cell cycle due to RB1 defects,SKP2
Aberrant regulation of mitotic cell cycle due to RB1 defects,CCND1
Aberrant regulation of mitotic cell cycle due to RB1 defects,CDK4
cell cycle,SMC4
cell cycle,EIF4G1
cell cycle,AHCTF1
cell cycle,ECT2
cell cycle,AKT2
cell cycle,MECOM
cell cycle,EZH2
cell cycle,LSM14A
cell cycle,PLSCR1
cell cycle,RBM38
cell cycle,CCNL1
cell cycle,EXOC4
cell cycle,WNK1
cell cycle,UVRAG
cell cycle,CCNE1
cell cycle,FZR1
cell cycle,E2F3
cell cycle,CIT
cell cycle,PARD6B
cell cycle,SKP2
cell cycle,PDS5B
cell cycle,VPS4B
cell cycle,ACTR3
cell cycle,FBXW11
cell cycle,MAEA
cell cycle,CCND1
cell cycle,MYBL2
cell cycle,ZFP36L1
cell cycle,ARID2
cell cycle,XRCC2
cell cycle,CDK4
cell cycle,APC
Diseases of mitotic cell cycle,CCNE1
Diseases of mitotic cell cycle,FZR1
