Biomarker,TargetGene,T-stat,P-value,EffectSize,n_Deleted,n_WT,MeanEffect_Deleted,MeanEffect_WT,FDR
COPS2,ABCA10,2.2157490829388986,0.0419764965806423,1.0341302318864254,11,7,-0.0152202882506949,-0.1125820725190636,0.9683983315219682
COPS2,ABCA7,2.9765716580910992,0.0089046519703791,1.3670784129036182,11,7,0.0874998911720125,-0.0086777537182712,0.9683983315219682
COPS2,ABCC3,-2.374502881263052,0.0304813854953887,-1.0823093425224082,11,7,-0.0609504037525217,0.0101545326120961,0.9683983315219682
COPS2,ABLIM3,-2.9151188643729937,0.0101406442716524,-1.3447707438522725,11,7,-0.0167750322807715,0.1340132567239088,0.9683983315219682
COPS2,ABRAXAS1,-2.7835713731033374,0.0136259451943535,-1.30277248630544,11,7,-0.3541420871570467,-0.2449567142851763,0.9683983315219682
COPS2,ABTB3,-2.149933560278773,0.0482725986406057,-1.0133801135353764,11,7,0.0336441007058195,0.1252015785357591,0.9683983315219682
COPS2,ACAA1,2.454026248394659,0.0263195955110176,1.107401237713238,11,7,0.2312197709478502,0.1142084765414836,0.9683983315219682
COPS2,ACACB,2.507171870834177,0.0261142580785612,1.2098783109995246,11,7,-0.071691218458563,-0.1559333801377539,0.9683983315219682
COPS2,ACAP3,-2.4324909783989037,0.0271052462941406,-1.1159743675183893,11,7,-0.2075862965327251,-0.0740150707818155,0.9683983315219682
COPS2,ACLY,2.191653601053442,0.0470159506902801,1.0572042522028582,11,7,-0.2525068743328794,-0.5325352944139766,0.9683983315219682
COPS2,ACOT8,-3.2444218003345924,0.0057919813431401,-1.5460869839478095,11,7,-0.07280164414254,0.0333213100941864,0.9683983315219682
COPS2,ACP2,2.645975874979237,0.0179072263551466,1.1941671013602426,11,7,0.0854579237479419,-0.0236305955172935,0.9683983315219682
COPS2,ACP3,-2.5548639205248813,0.0224157830943796,-1.2125146985229796,11,7,0.042144760275329,0.1656219910909366,0.9683983315219682
COPS2,ACP5,2.2665959499688726,0.0419156076872701,1.1013350990397206,11,7,0.0399029412112451,-0.0272390078450814,0.9683983315219682
COPS2,ACR,-2.6458535099413774,0.0179936676361235,-1.191589650904781,11,7,-0.2352162568887291,-0.095397181289499,0.9683983315219682
COPS2,ACSM2B,2.8320932566032524,0.0180627703946246,1.5816080717942207,8,5,0.180392574762684,0.0669190859017929,0.9683983315219682
COPS2,ACTL6A,2.217835361331812,0.0428141766560476,1.0505368303625562,11,7,-1.4411928365704072,-1.621538539000574,0.9683983315219682
COPS2,ACTR3,-2.3333856529019474,0.0346785532080636,-1.1099931323317491,11,7,-0.7058047971788934,-0.4390476987962815,0.9683983315219682
COPS2,ACTRT2,-3.650859882150353,0.0037306690097559,-1.8004443375122383,11,7,0.0478593616737639,0.1876543672271797,0.9683983315219682
COPS2,ADA2,-3.383489784119495,0.0039529202370682,-1.5833967117046743,11,7,-0.0787964923531669,0.0740220935248743,0.9683983315219682
COPS2,ADAM20,2.263644109054629,0.0405697087999906,1.086624150348161,11,7,0.157376116215016,0.0661218851256673,0.9683983315219682
COPS2,ADAM21,2.262354275924793,0.0408762497676868,1.087925817641158,11,7,0.0107305177595409,-0.1224076683090147,0.9683983315219682
COPS2,ADGRE1,2.404832775770576,0.0290814875228825,1.083675123727334,11,7,0.0194150136967985,-0.0879906031068956,0.9683983315219682
COPS2,ADGRL4,3.251932442695603,0.0061436869289994,1.5658423480960766,11,7,0.234561121478408,0.1136313623187872,0.9683983315219682
COPS2,ADORA3,3.15321517259754,0.0199881924478329,1.994268379601836,5,5,0.2852140912794962,0.1034280126628868,0.9683983315219682
COPS2,AGBL3,-2.3248753881997217,0.0377333043559032,-1.1301592095762196,11,7,-0.1511516389890006,-0.0129853811955558,0.9683983315219682
COPS2,AGPS,3.0892183374726763,0.0072512295522135,1.392095953721838,11,7,0.0643874231181358,-0.0552661191218318,0.9683983315219682
COPS2,AGR3,2.223325302014268,0.0490386801496331,1.1040182648521015,11,7,0.0334556693520969,-0.1037044726141991,0.9683983315219682
COPS2,AGXT,-2.2393335070410623,0.0425147689105035,-1.0754894319922153,11,7,0.0191021429797524,0.1201042524937469,0.9683983315219682
COPS2,AHSA1,2.4737257744603864,0.0251955430175941,1.1511862413336735,11,7,0.0095336629191518,-0.1098783279952848,0.9683983315219682
COPS2,AIMP2,-2.949313786520318,0.0099163796164647,-1.389176284775431,11,7,-0.1919377195205631,-0.0914654036956979,0.9683983315219682
COPS2,AKAP10,2.461851522259506,0.0261093520953348,1.154159587935304,11,7,0.1097326050884967,-0.0521905044648098,0.9683983315219682
COPS2,AKIRIN1,-2.183891816406917,0.0443423303239119,-1.0116989388920932,11,7,-0.4827545768517002,-0.3087105370664106,0.9683983315219682
COPS2,ALDH4A1,-2.9992412698054105,0.009286125982728,-1.4242941780738074,11,7,-0.0493596365908459,0.0699378535356689,0.9683983315219682
COPS2,ALDH8A1,2.443767694392516,0.0265040183299245,1.119582062043988,11,7,-0.0067569735561716,-0.0926776784365894,0.9683983315219682
COPS2,AMBP,-2.1550870580667003,0.0498461396993517,-1.0361369624847503,11,7,-0.0709656440492503,0.0475957437215894,0.9683983315219682
COPS2,AMBRA1,3.065660271647092,0.0078981989480596,1.3692211557553031,11,7,0.0365727744862886,-0.2361813412938326,0.9683983315219682
COPS2,AMY2A,4.073880991463756,0.0010071813862259,1.953682030935488,10,7,-0.3418270007408019,-0.5990051237694886,0.9683983315219682
COPS2,ANKRD30A,2.4236344184025485,0.0282586097426163,1.087452062625877,11,7,0.1615793958112641,0.0699849762878534,0.9683983315219682
COPS2,ANKRD34A,-2.538744776374664,0.0245359114869441,-1.1132568941599903,11,7,-0.2634702731406938,-0.1150710149059774,0.9683983315219682
COPS2,ANKRD35,-2.264608989741852,0.037790748725062,-1.042040155872623,11,7,-0.3963667606687993,-0.2600933252070839,0.9683983315219682
COPS2,ANXA3,2.735716961318101,0.0194990473238215,1.3528288523764629,11,7,0.0758807690048701,-0.0332439613580092,0.9683983315219682
COPS2,AOAH,2.380160602305962,0.0452382426661059,1.2275722526127817,11,7,0.0801781258419619,-0.1320404542979356,0.9683983315219682
COPS2,AOC1,-2.37905382587782,0.0311353776151117,-1.0630207648191854,11,7,-0.0832278652839819,-0.0084435056658131,0.9683983315219682
